date,material,material_group,material_division,plant,plant_group,sales_office,sales_office_group,historic_sales_12_free_stock_in_tons,historic_sales_12_contracts_in_tons,historic_sales_12_scheduling_agreement_in_tons,historic_sales_24_free_stock_in_tons,historic_sales_24_contracts_in_tons,historic_sales_24_scheduling_agreement_in_tons,sales_free_stock_in_tons,sales_contracts_in_tons,sales_scheduling_agreement_in_tons,historic_inventory_12_free_stock_in_tons,historic_inventory_24_free_stock_in_tons
2026-11-01,10586,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-12-01,10586,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-01-01,10586,143,135,30,25,76,113,0.0,0.0,0.0,1.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-02-01,10586,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-03-01,10586,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-04-01,10586,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-05-01,10586,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01,10587,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,10587,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,10587,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-01,10587,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-10-01,10587,143,135,30,25,76,113,0.0,0.0,0.0,0.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-01,10587,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-12-01,10587,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-01-01,10587,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-02-01,10587,143,135,30,25,76,113,0.0,0.0,0.0,0.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-03-01,10587,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-04-01,10587,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-05-01,10587,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01,10590,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,10590,143,135,30,25,76,113,0.0,0.0,0.0,1.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,10590,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-01,10590,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-10-01,10590,143,135,30,25,76,113,2.016,0.0,0.0,0.0,0.0,0.0,2.016,0.0,0.0,0.0,0.0
2026-11-01,10590,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-12-01,10590,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-01-01,10590,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-02-01,10590,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-03-01,10590,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-04-01,10590,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-05-01,10590,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01,10603,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,10603,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,10603,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-01,10603,143,135,30,25,76,113,0.535,0.0,0.0,0.0,0.0,0.0,0.48150000000000004,0.0,0.0,0.0,0.0
